registro,caudal
1950,10400
1951,10700
1952,20100
1953,8210
1954,14300
1955,8040
1956,8210
1957,13900
1958,8390
1959,18500
1960,13000
1961,16400
1962,14500
1963,13000
1964,17200
1965,13900
1966,11900
1967,13600
1968,12400
1969,18300
1970,12900
1971,18200
1972,9900
1973,10200
1974,9020
1975,11800
1976,16100
1977,16900
1978,11800
1979,13900
1980,12300
1981,15100
1982,11900
1983,11000
1984,16000
1985,11600
1986,19900
1987,18600
1988,18000
1989,13100
1990,29100
1991,10300
1992,12200
1993,15600
1994,12700
1995,13100
1996,19200
1997,19500
1998,23000
1999,6700
2000,7130
2001,14300
2002,20600
2003,25600
2004,8180
2005,34100
2006,16100
2007,10200
2008,12300
